id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
709054620601734904,50.0,la Dreta de l'Eixample,Eixample,5.0
716692574662165932,61.0,la Font de la Guatlla,Sants-Montjuïc,5.0
716692653763581490,75.0,Sant Antoni,Eixample,5.0
716735637809402980,72.0,el Raval,Ciutat Vella,4.71
716756364580350804,126.0,el Poble Sec,Sants-Montjuïc,4.71
717020927181957893,123.0,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,4.22
717032907945200215,153.0,la Maternitat i Sant Ramon,Les Corts,4.66
717040235345856516,124.0,les Tres Torres,Sarrià-Sant Gervasi,4.6
717043930070439520,126.0,el Camp de l'Arpa del Clot,Sant Martí,4.41
709215250672242324,101.0,l'Antiga Esquerra de l'Eixample,Eixample,4.71
709783994786162825,165.0,la Dreta de l'Eixample,Eixample,5.0
709852017663835707,140.0,l'Antiga Esquerra de l'Eixample,Eixample,4.47
710197018361378527,60.0,el Poble Sec,Sants-Montjuïc,4.66
710417624526190594,23.0,el Poble Sec,Sants-Montjuïc,4.71
710605756814827268,180.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.71
710706493166461745,29.0,la Sagrada Família,Eixample,5.0
